external_id,first_name,last_name,position,tournament_name,club_name,games_played,mvp_count,goals,assists,yellow_cards,red_cards,match_rows,wins,starts,goals_conceded,defensive_points,computed_rating,avg_points_per_game,division_rank,division_total
62ff85175af15e27816fe20e,Шапи,Абидов,,Суперлига — Премьер-Лига,Алания СПб,10,1,0,0,2,0,2,0,1,8,,2.00,0.20,146,291
66ade4a03a4fb35a78fb6d22,Рафаэль,Алиев,,Суперлига — Премьер-Лига,Алания СПб,8,2,5,0,5,0,0,0,0,,,19.00,2.38,23,291
62ff8f0f5af15e2781709186,Руслан,Асадов,,Суперлига — Премьер-Лига,Алания СПб,10,0,0,0,0,0,0,0,0,,,0.00,0.00,184,291
62ff978e5af15e278171188c,Амил,Ахмедов,,Суперлига — Премьер-Лига,Алания СПб,11,0,0,1,3,0,1,0,1,11,,1.00,0.09,163,291
670bb7b38caa73e53c420054,Эмин,Ахмедов,,Суперлига — Премьер-Лига,Алания СПб,0,0,0,0,0,0,0,0,0,,,0.00,0.00,186,291
69d190162a91fb06a9f6c40c,Денис,Виноградов,,Суперлига — Премьер-Лига,Алания СПб,3,0,0,0,0,0,0,0,0,,,0.00,0.00,194,291
62ffacb45af15e2781726837,Сармат,Гагиев,,Суперлига — Премьер-Лига,Алания СПб,11,2,3,1,3,1,2,0,1,8,,14.00,1.27,42,291
62ffaf965af15e2781729664,Таймураз,Гагиев,,Суперлига — Премьер-Лига,Алания СПб,8,1,2,0,2,1,2,0,0,8,,8.00,1.00,68,291
62fe551c34134c11a93c8b86,Давид,Гаглоев,,Суперлига — Премьер-Лига,Алания СПб,4,0,1,2,1,0,2,0,2,8,,5.00,1.25,96,291
62ff6c6b5af15e27816e28b5,Анрид,Гаджиев,,Суперлига — Премьер-Лига,Алания СПб,7,1,0,1,3,0,1,0,1,3,,3.00,0.43,121,291
62ff671e5af15e27816dd17a,Султан,Гамзатов,,Суперлига — Премьер-Лига,Алания СПб,3,1,2,2,1,0,0,0,0,,,10.00,3.33,58,291
